player,salary,season,season_end,season_start,team
D'Angelo Russell,5332800,2016-17,2017,2016,Los Angeles Lakers
D'Angelo Russell,5562360,2017-18,2018,2017,Brooklyn Nets
Walker Russell,374289,2011-12,2012,2011,Detroit Pistons
Arvydas Sabonis,2200000,1995-96,1996,1995,Portland Trail Blazers
Arvydas Sabonis,2640000,1996-97,1997,1996,Portland Trail Blazers
Arvydas Sabonis,3080000,1997-98,1998,1997,Portland Trail Blazers
Arvydas Sabonis,9000000,1998-99,1999,1998,Portland Trail Blazers
Arvydas Sabonis,9818481,1999-00,2000,1999,Portland Trail Blazers
Arvydas Sabonis,11250000,2000-01,2001,2000,Portland Trail Blazers
Arvydas Sabonis,6850000,2002-03,2003,2002,Portland Trail Blazers
Arvydas Sabonis,3000000,2004-05,2005,2004,Portland Trail Blazers
Domantas Sabonis,2440200,2016-17,2017,2016,Oklahoma City Thunder
Domantas Sabonis,2550000,2017-18,2018,2017,Indiana Pacers
Robert Sacre,473604,2012-13,2013,2012,Los Angeles Lakers
Robert Sacre,788872,2013-14,2014,2013,Los Angeles Lakers
Robert Sacre,915243,2014-15,2015,2014,Los Angeles Lakers
Robert Sacre,981348,2015-16,2016,2015,Los Angeles Lakers
John Salley,335000,1987-88,1988,1987,Detroit Pistons
John Salley,380000,1988-89,1989,1988,Detroit Pistons
John Salley,575000,1990-91,1991,1990,Detroit Pistons
John Salley,2000000,1991-92,1992,1991,Detroit Pistons
John Salley,2002000,1992-93,1993,1992,Miami Heat
John Salley,2452000,1993-94,1994,1993,Miami Heat
John Salley,2652000,1994-95,1995,1994,Miami Heat
John Salley,2402000,1995-96,1996,1995,Toronto Raptors
John Salley,2225000,1996-97,1997,1996,Toronto Raptors
John Salley,510000,1999-00,2000,1999,Los Angeles Lakers
John Salmons,670800,2002-03,2003,2002,Philadelphia 76ers
John Salmons,865320,2003-04,2004,2003,Philadelphia 76ers
John Salmons,925680,2004-05,2005,2004,Philadelphia 76ers
John Salmons,1669001,2005-06,2006,2005,Philadelphia 76ers
John Salmons,4400000,2006-07,2007,2006,Sacramento Kings
John Salmons,4752000,2007-08,2008,2007,Sacramento Kings
John Salmons,5104000,2008-09,2009,2008,Chicago Bulls
John Salmons,5456000,2009-10,2010,2009,Milwaukee Bucks
John Salmons,8000000,2010-11,2011,2010,Milwaukee Bucks
John Salmons,8500000,2011-12,2012,2011,Sacramento Kings
John Salmons,8083000,2012-13,2013,2012,Sacramento Kings
John Salmons,7583000,2013-14,2014,2013,Sacramento Kings
John Salmons,2000000,2014-15,2015,2014,Phoenix Suns
John Salmons,1000000,2014-15,2015,2014,Atlanta Hawks
Kevin Salvadori,247500,1996-97,1997,1996,Sacramento Kings
Kevin Salvadori,300000,1997-98,1998,1997,Sacramento Kings
Soumaila Samake,316969,2000-01,2001,2000,New Jersey Nets
Soumaila Samake,465850,2001-02,2002,2001,Chicago Bulls
Soumaila Samake,124984,2002-03,2003,2002,Los Angeles Lakers
Cheikh Samb,427163,2007-08,2008,2007,Detroit Pistons
Cheikh Samb,797581,2008-09,2009,2008,Los Angeles Clippers
Jamal Sampson,349458,2002-03,2003,2002,Milwaukee Bucks
Jamal Sampson,563679,2003-04,2004,2003,Los Angeles Lakers
Jamal Sampson,695046,2004-05,2005,2004,Charlotte Bobcats
Jamal Sampson,719373,2005-06,2006,2005,Sacramento Kings
Jamal Sampson,771331,2006-07,2007,2006,Denver Nuggets
Ralph Sampson,1300000,1984-85,1985,1984,Houston Rockets
Ralph Sampson,1165500,1985-86,1986,1985,Houston Rockets
Ralph Sampson,1363500,1986-87,1987,1986,Houston Rockets
Ralph Sampson,1735000,1987-88,1988,1987,Golden State Warriors
Ralph Sampson,1960000,1988-89,1989,1988,Golden State Warriors
Ralph Sampson,2100000,1989-90,1990,1989,Sacramento Kings
Ralph Sampson,2250000,1990-91,1991,1990,Sacramento Kings
Ralph Sampson,2685000,1991-92,1992,1991,Sacramento Kings
Ralph Sampson,2685000,1992-93,1993,1992,Sacramento Kings
Samardo Samuels,500000,2010-11,2011,2010,Cleveland Cavaliers
Samardo Samuels,762195,2011-12,2012,2011,Cleveland Cavaliers
Samardo Samuels,341756,2012-13,2013,2012,Cleveland Cavaliers
Pepe Sanchez,316969,2000-01,2001,2000,Philadelphia 76ers
Pepe Sanchez,587435,2002-03,2003,2002,Detroit Pistons
Pepe Sanchez,663679,2003-04,2004,2003,Golden State Warriors
Jeff Sanders,385000,1991-92,1992,1991,Miami Heat
Jeff Sanders,250000,1992-93,1993,1992,Atlanta Hawks
Jeff Sanders,475000,1998-99,1999,1998,Chicago Bulls
Larry Sanders,1731960,2010-11,2011,2010,Milwaukee Bucks
Larry Sanders,1861920,2011-12,2012,2011,Milwaukee Bucks
Larry Sanders,1991760,2012-13,2013,2012,Milwaukee Bucks
Larry Sanders,3053368,2013-14,2014,2013,Milwaukee Bucks
Larry Sanders,11000000,2014-15,2015,2014,Milwaukee Bucks
Larry Sanders,1865547,2015-16,2016,2015,Milwaukee Bucks
Larry Sanders,1865547,2016-17,2017,2016,Milwaukee Bucks
Larry Sanders,207722,2016-17,2017,2016,Cleveland Cavaliers
Larry Sanders,1865547,2017-18,2018,2017,Milwaukee Bucks
Melvin Sanders,24315,2005-06,2006,2005,San Antonio Spurs
Mike Sanders,70000,1984-85,1985,1984,Phoenix Suns
Mike Sanders,100000,1985-86,1986,1985,Phoenix Suns
Mike Sanders,110000,1986-87,1987,1986,Phoenix Suns
Mike Sanders,240000,1987-88,1988,1987,Cleveland Cavaliers
Mike Sanders,260000,1988-89,1989,1988,Cleveland Cavaliers
Mike Sanders,760000,1990-91,1991,1990,Indiana Pacers
Mike Sanders,860000,1991-92,1992,1991,Indiana Pacers
Mike Sanders,1100000,1992-93,1993,1992,Cleveland Cavaliers
Mike Sanders,910000,1992-93,1993,1992,Indiana Pacers
Daniel Santiago,316969,2000-01,2001,2000,Phoenix Suns
Daniel Santiago,465850,2001-02,2002,2001,Phoenix Suns
Daniel Santiago,1200000,2003-04,2004,2003,Milwaukee Bucks
Daniel Santiago,1320000,2004-05,2005,2004,Milwaukee Bucks
Dario Saric,2318280,2016-17,2017,2016,Philadelphia 76ers
Dario Saric,2422560,2017-18,2018,2017,Philadelphia 76ers
Jason Sasser,2706,1999-00,2000,1999,Dallas Mavericks
Jeryl Sasser,901800,2001-02,2002,2001,Orlando Magic
Jeryl Sasser,969480,2002-03,2003,2002,Orlando Magic
Jeryl Sasser,1125729,2003-04,2004,2003,Orlando Magic
Tomas Satoransky,2870813,2016-17,2017,2016,Washington Wizards
Tomas Satoransky,3000000,2017-18,2018,2017,Washington Wizards
Kenny Satterfield,332817,2001-02,2002,2001,Denver Nuggets
Kenny Satterfield,512435,2002-03,2003,2002,Philadelphia 76ers
Predrag Savovic,349458,2002-03,2003,2002,Denver Nuggets
Brian Scalabrine,332817,2001-02,2002,2001,New Jersey Nets
Brian Scalabrine,512435,2002-03,2003,2002,New Jersey Nets
Brian Scalabrine,800000,2003-04,2004,2003,New Jersey Nets
Brian Scalabrine,900000,2004-05,2005,2004,New Jersey Nets
Brian Scalabrine,2586207,2005-06,2006,2005,Boston Celtics
Brian Scalabrine,2793103,2006-07,2007,2006,Boston Celtics
Brian Scalabrine,3000000,2007-08,2008,2007,Boston Celtics
Brian Scalabrine,3206897,2008-09,2009,2008,Boston Celtics
Brian Scalabrine,3413793,2009-10,2010,2009,Boston Celtics
Brian Scalabrine,1229255,2010-11,2011,2010,Chicago Bulls
Brian Scalabrine,1352181,2011-12,2012,2011,Chicago Bulls
Alex Scales,24315,2005-06,2006,2005,San Antonio Spurs
Danny Schayes,225000,1984-85,1985,1984,Denver Nuggets
Danny Schayes,350000,1985-86,1986,1985,Denver Nuggets
Danny Schayes,425000,1987-88,1988,1987,Denver Nuggets
Danny Schayes,1000000,1988-89,1989,1988,Denver Nuggets
Danny Schayes,1500000,1989-90,1990,1989,Denver Nuggets
Danny Schayes,1500000,1990-91,1991,1990,Milwaukee Bucks
Danny Schayes,1600000,1991-92,1992,1991,Milwaukee Bucks
Danny Schayes,1600000,1992-93,1993,1992,Milwaukee Bucks
Danny Schayes,1750000,1993-94,1994,1993,Milwaukee Bucks
Danny Schayes,672000,1994-95,1995,1994,Phoenix Suns
Danny Schayes,575000,1996-97,1997,1996,Orlando Magic
Danny Schayes,690000,1997-98,1998,1997,Orlando Magic
Danny Schayes,1000000,1998-99,1999,1998,Orlando Magic
Danny Schayes,211765,1999-00,2000,1999,Minnesota Timberwolves
Steve Scheffler,200000,1990-91,1991,1990,Charlotte Hornets
Steve Scheffler,140000,1992-93,1993,1992,Seattle SuperSonics
Steve Scheffler,170000,1993-94,1994,1993,Seattle SuperSonics
Steve Scheffler,275000,1994-95,1995,1994,Seattle SuperSonics
Steve Scheffler,250000,1995-96,1996,1995,Seattle SuperSonics
Steve Scheffler,275000,1996-97,1997,1996,Seattle SuperSonics
Steve Scheffler,330000,1997-98,1998,1997,Denver Nuggets
Luke Schenscher,55000,2006-07,2007,2006,Chicago Bulls
Dwayne Schintzius,520000,1990-91,1991,1990,San Antonio Spurs
Dwayne Schintzius,650000,1991-92,1992,1991,Sacramento Kings
Dwayne Schintzius,140000,1992-93,1993,1992,New Jersey Nets
Dwayne Schintzius,921000,1993-94,1994,1993,New Jersey Nets
Dwayne Schintzius,1197000,1994-95,1995,1994,New Jersey Nets
Dwayne Schintzius,225000,1995-96,1996,1995,Indiana Pacers
Dwayne Schintzius,625000,1996-97,1997,1996,Los Angeles Clippers
Dwayne Schintzius,662500,1998-99,1999,1998,Boston Celtics
Dwayne Schintzius,550000,1999-00,2000,1999,Denver Nuggets
Russ Schoene,250000,1987-88,1988,1987,Seattle SuperSonics
Russ Schoene,275000,1988-89,1989,1988,Seattle SuperSonics
Detlef Schrempf,290000,1985-86,1986,1985,Dallas Mavericks
Detlef Schrempf,390000,1987-88,1988,1987,Dallas Mavericks
Detlef Schrempf,440000,1988-89,1989,1988,Dallas Mavericks
Detlef Schrempf,1160000,1990-91,1991,1990,Indiana Pacers
Detlef Schrempf,1278000,1991-92,1992,1991,Indiana Pacers
Detlef Schrempf,1393000,1992-93,1993,1992,Indiana Pacers
Detlef Schrempf,1308000,1993-94,1994,1993,Seattle SuperSonics
Detlef Schrempf,5000000,1994-95,1995,1994,Seattle SuperSonics
Detlef Schrempf,5000000,1995-96,1996,1995,Seattle SuperSonics
Detlef Schrempf,3333000,1996-97,1997,1996,Seattle SuperSonics
Detlef Schrempf,3333333,1997-98,1998,1997,Seattle SuperSonics
Detlef Schrempf,3333000,1998-99,1999,1998,Seattle SuperSonics
Detlef Schrempf,2000000,1999-00,2000,1999,Portland Trail Blazers
Detlef Schrempf,2200000,2000-01,2001,2000,Portland Trail Blazers
Dennis Schroder,1348200,2013-14,2014,2013,Atlanta Hawks
Dennis Schroder,1690680,2014-15,2015,2014,Atlanta Hawks
Dennis Schroder,1763400,2015-16,2016,2015,Atlanta Hawks
Dennis Schroder,2708582,2016-17,2017,2016,Atlanta Hawks
Dennis Schroder,15500000,2017-18,2018,2017,Atlanta Hawks
Luis Scola,2910000,2007-08,2008,2007,Houston Rockets
Luis Scola,3100667,2008-09,2009,2008,Houston Rockets
Luis Scola,3375600,2009-10,2010,2009,Houston Rockets
Luis Scola,7775378,2010-11,2011,2010,Houston Rockets
Luis Scola,8591793,2011-12,2012,2011,Houston Rockets
Luis Scola,5259697,2012-13,2013,2012,Houston Rockets
Luis Scola,4148510,2012-13,2013,2012,Phoenix Suns
Luis Scola,4508504,2013-14,2014,2013,Indiana Pacers
Luis Scola,6172538,2014-15,2015,2014,Houston Rockets
Luis Scola,3000000,2015-16,2016,2015,Toronto Raptors
Luis Scola,5000000,2016-17,2017,2016,Brooklyn Nets
Alvin Scott,120000,1984-85,1985,1984,Phoenix Suns
Brent Scott,247500,1996-97,1997,1996,Indiana Pacers
Brent Scott,385000,1999-00,2000,1999,Indiana Pacers
Byron Scott,350000,1984-85,1985,1984,Los Angeles Lakers
Byron Scott,420000,1985-86,1986,1985,Los Angeles Lakers
Byron Scott,600000,1987-88,1988,1987,Los Angeles Lakers
Byron Scott,1000000,1988-89,1989,1988,Los Angeles Lakers
Byron Scott,1100000,1989-90,1990,1989,Los Angeles Lakers
Byron Scott,1100000,1990-91,1991,1990,Los Angeles Lakers
Byron Scott,1100000,1991-92,1992,1991,Los Angeles Lakers
Byron Scott,1100000,1992-93,1993,1992,Los Angeles Lakers
Byron Scott,650000,1993-94,1994,1993,Indiana Pacers
Byron Scott,1550000,1994-95,1995,1994,Indiana Pacers
Byron Scott,1650000,1995-96,1996,1995,Vancouver Grizzlies
Byron Scott,247500,1996-97,1997,1996,Los Angeles Lakers
Byron Scott,510000,1999-00,2000,1999,Los Angeles Lakers
Dennis Scott,1560000,1990-91,1991,1990,Orlando Magic
Dennis Scott,1980000,1991-92,1992,1991,Orlando Magic
Dennis Scott,2400000,1992-93,1993,1992,Orlando Magic
Dennis Scott,2820000,1993-94,1994,1993,Orlando Magic
Dennis Scott,3240000,1994-95,1995,1994,Orlando Magic
Dennis Scott,3150000,1995-96,1996,1995,Orlando Magic
Dennis Scott,3000000,1996-97,1997,1996,Orlando Magic
Dennis Scott,2920000,1997-98,1998,1997,Dallas Mavericks
Dennis Scott,1000000,1998-99,1999,1998,New York Knicks
Dennis Scott,725000,1998-99,1999,1998,Minnesota Timberwolves
Dennis Scott,1100000,1999-00,2000,1999,Vancouver Grizzlies
Dennis Scott,1200000,2000-01,2001,2000,Washington Wizards
James Scott,220000,1996-97,1997,1996,Miami Heat
Mike Scott,473604,2012-13,2013,2012,Atlanta Hawks
Mike Scott,788872,2013-14,2014,2013,Atlanta Hawks
Mike Scott,3333333,2014-15,2015,2014,Atlanta Hawks
Mike Scott,3333333,2015-16,2016,2015,Atlanta Hawks
Mike Scott,3333334,2016-17,2017,2016,Phoenix Suns
Mike Scott,1471382,2017-18,2018,2017,Washington Wizards
Shawnelle Scott,300000,1996-97,1997,1996,Cleveland Cavaliers
Shawnelle Scott,500000,1997-98,1998,1997,Cleveland Cavaliers
Shawnelle Scott,548500,2000-01,2001,2000,San Antonio Spurs
Shawnelle Scott,590850,2001-02,2002,2001,Denver Nuggets
Carey Scurry,70000,1985-86,1986,1985,Utah Jazz
Shea Seals,242000,1997-98,1998,1997,Los Angeles Lakers
Shea Seals,385000,1999-00,2000,1999,Los Angeles Lakers
Malik Sealy,790000,1992-93,1993,1992,Indiana Pacers
Malik Sealy,1023000,1993-94,1994,1993,Indiana Pacers
Malik Sealy,1260000,1994-95,1995,1994,Los Angeles Clippers
Malik Sealy,1495000,1995-96,1996,1995,Los Angeles Clippers
Malik Sealy,1732000,1996-97,1997,1996,Los Angeles Clippers
Malik Sealy,1150000,1997-98,1998,1997,Detroit Pistons
Malik Sealy,1000000,1998-99,1999,1998,Minnesota Timberwolves
Malik Sealy,1100000,1999-00,2000,1999,Minnesota Timberwolves
Thabo Sefolosha,1679280,2006-07,2007,2006,Chicago Bulls
Thabo Sefolosha,1805160,2007-08,2008,2007,Chicago Bulls
Thabo Sefolosha,1931160,2008-09,2009,2008,Oklahoma City Thunder
Thabo Sefolosha,2759628,2009-10,2010,2009,Oklahoma City Thunder
Thabo Sefolosha,3250000,2010-11,2011,2010,Oklahoma City Thunder
Thabo Sefolosha,3300000,2011-12,2012,2011,Oklahoma City Thunder
Thabo Sefolosha,3600000,2012-13,2013,2012,Oklahoma City Thunder
Thabo Sefolosha,3900000,2013-14,2014,2013,Oklahoma City Thunder
Thabo Sefolosha,4150000,2014-15,2015,2014,Atlanta Hawks
Thabo Sefolosha,4000000,2015-16,2016,2015,Atlanta Hawks
Thabo Sefolosha,3850000,2016-17,2017,2016,Atlanta Hawks
Thabo Sefolosha,5250000,2017-18,2018,2017,Utah Jazz
Rony Seikaly,650000,1988-89,1989,1988,Miami Heat
Rony Seikaly,755000,1990-91,1991,1990,Miami Heat
Rony Seikaly,2002000,1991-92,1992,1991,Miami Heat
Rony Seikaly,2382000,1992-93,1993,1992,Miami Heat
Rony Seikaly,3057000,1993-94,1994,1993,Miami Heat
Rony Seikaly,3297000,1994-95,1995,1994,Golden State Warriors
Rony Seikaly,3532000,1995-96,1996,1995,Golden State Warriors
Rony Seikaly,3752000,1996-97,1997,1996,Orlando Magic
Rony Seikaly,4002000,1997-98,1998,1997,Orlando Magic
Rony Seikaly,4252000,1998-99,1999,1998,New Jersey Nets
Josh Selby,550000,2011-12,2012,2011,Memphis Grizzlies
Josh Selby,762195,2012-13,2013,2012,Cleveland Cavaliers
Wayne Selden,83119,2016-17,2017,2016,Memphis Grizzlies
Wayne Selden,31969,2016-17,2017,2016,New Orleans Pelicans
Wayne Selden,1312611,2017-18,2018,2017,Memphis Grizzlies
Brad Sellers,381830,1987-88,1988,1987,Chicago Bulls
Brad Sellers,480000,1988-89,1989,1988,Chicago Bulls
Brad Sellers,600000,1991-92,1992,1991,Detroit Pistons
Brad Sellers,700000,1992-93,1993,1992,Minnesota Timberwolves
Mouhamed Sene,1958640,2006-07,2007,2006,Seattle SuperSonics
Mouhamed Sene,2105520,2007-08,2008,2007,Seattle SuperSonics
Mouhamed Sene,2252400,2008-09,2009,2008,Oklahoma City Thunder
Kevin Seraphin,1563120,2010-11,2011,2010,Washington Wizards
Kevin Seraphin,1680360,2011-12,2012,2011,Washington Wizards
Kevin Seraphin,1797600,2012-13,2013,2012,Washington Wizards
Kevin Seraphin,2761114,2013-14,2014,2013,Washington Wizards
Kevin Seraphin,3898692,2014-15,2015,2014,Washington Wizards
Kevin Seraphin,2800000,2015-16,2016,2015,New York Knicks
Kevin Seraphin,1800000,2016-17,2017,2016,Indiana Pacers
Ansu Sesay,287500,1998-99,1999,1998,Dallas Mavericks
Ansu Sesay,535000,1999-00,2000,1999,Dallas Mavericks
Ansu Sesay,508000,2000-01,2001,2000,Detroit Pistons
Ansu Sesay,612435,2002-03,2003,2002,Seattle SuperSonics
Ansu Sesay,688679,2003-04,2004,2003,Seattle SuperSonics
Ansu Sesay,745046,2004-05,2005,2004,Golden State Warriors
Ramon Sessions,427163,2007-08,2008,2007,Milwaukee Bucks
Ramon Sessions,722517,2008-09,2009,2008,Milwaukee Bucks
Ramon Sessions,3670667,2009-10,2010,2009,Minnesota Timberwolves
Ramon Sessions,3964320,2010-11,2011,2010,Cleveland Cavaliers
Ramon Sessions,4257973,2011-12,2012,2011,Cleveland Cavaliers
Ramon Sessions,5000000,2012-13,2013,2012,Charlotte Bobcats
Ramon Sessions,5000000,2013-14,2014,2013,Charlotte Bobcats
Ramon Sessions,2077000,2014-15,2015,2014,Washington Wizards
Ramon Sessions,2170465,2015-16,2016,2015,Washington Wizards
Ramon Sessions,6000000,2016-17,2017,2016,Charlotte Hornets
Ramon Sessions,1471382,2017-18,2018,2017,New York Knicks
Ramon Sessions,390706,2017-18,2018,2017,Washington Wizards
Ha Seung-Jin,641748,2005-06,2006,2005,Portland Trail Blazers
Ha Seung-Jin,744551,2006-07,2007,2006,Milwaukee Bucks
Tom Sewell,150000,1985-86,1986,1985,Washington Bullets
Charles Shackleford,150000,1988-89,1989,1988,New Jersey Nets
Charles Shackleford,1332000,1991-92,1992,1991,Philadelphia 76ers
Charles Shackleford,1720000,1992-93,1993,1992,Philadelphia 76ers
Charles Shackleford,650000,1994-95,1995,1994,Minnesota Timberwolves
Mustafa Shakur,5450,2007-08,2008,2007,Sacramento Kings
Mustafa Shakur,89670,2010-11,2011,2010,Washington Wizards
God Shammgod,242250,1997-98,1998,1997,Washington Wizards
Walter Sharpe,442114,2008-09,2009,2008,Detroit Pistons
John Shasky,125000,1988-89,1989,1988,Miami Heat
John Shasky,150000,1990-91,1991,1990,Dallas Mavericks
John Shasky,250000,1991-92,1992,1991,Dallas Mavericks
John Shasky,150000,1992-93,1993,1992,Dallas Mavericks
Brian Shaw,150000,1988-89,1989,1988,Boston Celtics
Brian Shaw,1212000,1990-91,1991,1990,Boston Celtics
Brian Shaw,1313000,1991-92,1992,1991,Boston Celtics
Brian Shaw,1413000,1992-93,1993,1992,Miami Heat
Brian Shaw,1513000,1993-94,1994,1993,Miami Heat
Brian Shaw,692900,1994-95,1995,1994,Orlando Magic
Brian Shaw,4250000,1995-96,1996,1995,Orlando Magic
Brian Shaw,4000000,1996-97,1997,1996,Orlando Magic
Brian Shaw,3750000,1997-98,1998,1997,Golden State Warriors
Brian Shaw,3400000,1998-99,1999,1998,Philadelphia 76ers
Brian Shaw,850000,1998-99,1999,1998,Portland Trail Blazers
Brian Shaw,1100000,1999-00,2000,1999,Houston Rockets
Brian Shaw,510000,1999-00,2000,1999,Los Angeles Lakers
Brian Shaw,2250000,2000-01,2001,2000,Los Angeles Lakers
Brian Shaw,963415,2001-02,2002,2001,Los Angeles Lakers
Brian Shaw,1030000,2002-03,2003,2002,Los Angeles Lakers
Casey Shaw,287500,1998-99,1999,1998,Philadelphia 76ers
Casey Shaw,25000,1999-00,2000,1999,Philadelphia 76ers
Lonnie Shelton,395000,1984-85,1985,1984,Cleveland Cavaliers
Lonnie Shelton,420000,1985-86,1986,1985,Cleveland Cavaliers
Jeff Sheppard,287500,1998-99,1999,1998,Atlanta Hawks
Jeff Sheppard,385000,1999-00,2000,1999,Atlanta Hawks
Paul Shirley,29832,2002-03,2003,2002,Atlanta Hawks
Purvis Short,495000,1984-85,1985,1984,Golden State Warriors
Purvis Short,545000,1985-86,1986,1985,Golden State Warriors
Purvis Short,425000,1987-88,1988,1987,Houston Rockets
Purvis Short,650000,1988-89,1989,1988,Houston Rockets
Iman Shumpert,1563120,2011-12,2012,2011,New York Knicks
Iman Shumpert,1680360,2012-13,2013,2012,New York Knicks
Iman Shumpert,1703760,2013-14,2014,2013,New York Knicks
Iman Shumpert,2616975,2014-15,2015,2014,Cleveland Cavaliers
Iman Shumpert,9000000,2015-16,2016,2015,Cleveland Cavaliers
Iman Shumpert,9700000,2016-17,2017,2016,Cleveland Cavaliers
Iman Shumpert,10337079,2017-18,2018,2017,Sacramento Kings
Alexey Shved,2934610,2012-13,2013,2012,Minnesota Timberwolves
Alexey Shved,3150000,2013-14,2014,2013,Minnesota Timberwolves
Alexey Shved,3282056,2014-15,2015,2014,New York Knicks
Pascal Siakam,1196040,2016-17,2017,2016,Toronto Raptors
Pascal Siakam,1312611,2017-18,2018,2017,Toronto Raptors
Jordan Sibert,100000,2015-16,2016,2015,Orlando Magic
Jerry Sichting,135000,1984-85,1985,1984,Indiana Pacers
Jerry Sichting,125000,1985-86,1986,1985,Boston Celtics
Jerry Sichting,200000,1986-87,1987,1986,Boston Celtics
Jerry Sichting,250000,1987-88,1988,1987,Portland Trail Blazers
Jerry Sichting,250000,1988-89,1989,1988,Portland Trail Blazers
Jack Sikma,1149000,1984-85,1985,1984,Seattle SuperSonics
Jack Sikma,1600000,1985-86,1986,1985,Seattle SuperSonics
Jack Sikma,1600000,1987-88,1988,1987,Milwaukee Bucks
Jack Sikma,1600000,1988-89,1989,1988,Milwaukee Bucks
Jack Sikma,1200000,1989-90,1990,1989,Milwaukee Bucks
Jack Sikma,1600000,1990-91,1991,1990,Milwaukee Bucks
Xavier Silas,74159,2017-18,2018,2017,Boston Celtics
Garret Siler,473640,2010-11,2011,2010,Phoenix Suns
Garret Siler,51097,2011-12,2012,2011,Phoenix Suns
Wayne Simien,867720,2005-06,2006,2005,Miami Heat
Wayne Simien,932760,2006-07,2007,2006,Miami Heat
Ben Simmons,5903160,2016-17,2017,2016,Philadelphia 76ers
Ben Simmons,6168840,2017-18,2018,2017,Philadelphia 76ers
Bobby Simmons,332817,2001-02,2002,2001,Washington Wizards
Bobby Simmons,512435,2002-03,2003,2002,Detroit Pistons
Bobby Simmons,337457,2002-03,2003,2002,Washington Wizards
Bobby Simmons,638679,2003-04,2004,2003,Los Angeles Clippers
Bobby Simmons,825000,2004-05,2005,2004,Los Angeles Clippers
Bobby Simmons,8000000,2005-06,2006,2005,Milwaukee Bucks
Bobby Simmons,8640000,2006-07,2007,2006,Milwaukee Bucks
Bobby Simmons,9280000,2007-08,2008,2007,Milwaukee Bucks
Bobby Simmons,10602667,2008-09,2009,2008,New Jersey Nets
Bobby Simmons,10560000,2009-10,2010,2009,New Jersey Nets
Bobby Simmons,71951,2010-11,2011,2010,San Antonio Spurs
Bobby Simmons,594836,2011-12,2012,2011,Los Angeles Clippers
Cedric Simmons,1515480,2006-07,2007,2006,New Orleans/Oklahoma City Hornets
Cedric Simmons,1629120,2007-08,2008,2007,Chicago Bulls
Cedric Simmons,1742760,2008-09,2009,2008,Sacramento Kings
Jonathon Simmons,525093,2015-16,2016,2015,San Antonio Spurs
Jonathon Simmons,874636,2016-17,2017,2016,San Antonio Spurs
Jonathon Simmons,6300000,2017-18,2018,2017,Orlando Magic
Lionel Simmons,930000,1990-91,1991,1990,Sacramento Kings
Lionel Simmons,1289000,1991-92,1992,1991,Sacramento Kings
Lionel Simmons,1464000,1992-93,1993,1992,Sacramento Kings
Lionel Simmons,1743000,1993-94,1994,1993,Sacramento Kings
Lionel Simmons,2181400,1994-95,1995,1994,Sacramento Kings
Lionel Simmons,2676000,1995-96,1996,1995,Sacramento Kings
Lionel Simmons,3194000,1996-97,1997,1996,Sacramento Kings
Lionel Simmons,3716500,1997-98,1998,1997,Sacramento Kings
Lionel Simmons,4238500,1998-99,1999,1998,Sacramento Kings
Miles Simon,287500,1998-99,1999,1998,Orlando Magic
Miles Simon,385000,1999-00,2000,1999,Orlando Magic
Dickey Simpkins,650000,1994-95,1995,1994,Chicago Bulls
Dickey Simpkins,845000,1995-96,1996,1995,Chicago Bulls
Dickey Simpkins,1040000,1996-97,1997,1996,Chicago Bulls
Dickey Simpkins,1235000,1997-98,1998,1997,Golden State Warriors
Dickey Simpkins,1500000,1999-00,2000,1999,Chicago Bulls
Dickey Simpkins,26190,2001-02,2002,2001,Atlanta Hawks
Courtney Sims,112130,2007-08,2008,2007,Indiana Pacers
Courtney Sims,184648,2008-09,2009,2008,Phoenix Suns
Henry Sims,915243,2014-15,2015,2014,Philadelphia 76ers
Henry Sims,161622,2015-16,2016,2015,Brooklyn Nets
Henry Sims,75000,2016-17,2017,2016,Utah Jazz
Kyle Singler,1000000,2012-13,2013,2012,Detroit Pistons
Kyle Singler,1045000,2013-14,2014,2013,Detroit Pistons
Kyle Singler,1090000,2014-15,2015,2014,Oklahoma City Thunder
Kyle Singler,5000000,2015-16,2016,2015,Oklahoma City Thunder
Kyle Singler,4837500,2016-17,2017,2016,Oklahoma City Thunder
Kyle Singler,4666500,2017-18,2018,2017,Oklahoma City Thunder
Sean Singletary,442114,2008-09,2009,2008,Charlotte Bobcats
Chris Singleton,1485000,2011-12,2012,2011,Washington Wizards
Chris Singleton,1596360,2012-13,2013,2012,Washington Wizards
Chris Singleton,1618680,2013-14,2014,2013,Washington Wizards
James Singleton,625000,2005-06,2006,2005,Los Angeles Clippers
James Singleton,675000,2006-07,2007,2006,Los Angeles Clippers
James Singleton,826269,2008-09,2009,2008,Dallas Mavericks
James Singleton,1030189,2009-10,2010,2009,Washington Wizards
Peyton Siva,100000,2014-15,2015,2014,Orlando Magic
Scott Skiles,172000,1987-88,1988,1987,Indiana Pacers
Scott Skiles,192000,1988-89,1989,1988,Indiana Pacers
Scott Skiles,408000,1990-91,1991,1990,Orlando Magic
Scott Skiles,1925000,1991-92,1992,1991,Orlando Magic
Scott Skiles,1348000,1992-93,1993,1992,Orlando Magic
Scott Skiles,1722000,1993-94,1994,1993,Orlando Magic
Scott Skiles,2125000,1994-95,1995,1994,Washington Bullets
Brian Skinner,653500,1998-99,1999,1998,Los Angeles Clippers
Brian Skinner,843000,1999-00,2000,1999,Los Angeles Clippers
Brian Skinner,901800,2000-01,2001,2000,Los Angeles Clippers
